cast_number,year,latitude,longitude,temperature,oxygen,pH,chlorophyl
8409841,1933,42.67,-66.03,6.64,329.,8.09,7.55
379084,1962,-2.57,-80.108,24.51,188.,7.82,6.464
379221,1962,-2.77,-80.58,22.78,217.,8.24,0.646
379290,1962,-3.38,-80.58,22.30,246.,8.15,4.540
379413,1962,-3.13,-80.85,21.25,229.,7.93,3.485
379592,1962,-2.57,-80.108,24.01,202.,8.08,12.136
379690,1962,-3.143,-80.07,22.82,215.,8.31,3.541
416345,1963,-60.772,-44.670,-1.10,---*---,7.90,1.02
416612,1963,-62.240,-17.267,-1.76,339.,7.90,0.23
416627,1963,-63.512,-12.422,-1.71,322.,8.00,0.16
416725,1964,-77.953,-38.733,-1.58,343.,7.86,1.02
9617602,1964,-77.953,-38.733,-1.20,343.,7.86,0.54
416779,1964,-77.570,-40.963,-1.27,366.,7.98,0.51
416790,1964,-77.367,-33.942,-1.38,348.,7.84,0.28
416800,1964,-76.700,-30.0,-1.14,359.,7.85,0.31
416819,1964,-75.500,-26.600,-1.31,342.,7.80,0.22
416856,1964,-72.047,-17.740,-0.50,353.,7.82,0.54
439992,1964,-17.68,-140.17,27.10,202.,8.23,0.030
440011,1964,-17.73,-142.47,27.08,202.,8.27,0.040
440039,1964,-22.28,-141.22,26.09,201.,8.30,0.060
440088,1964,-25.,-141.95,23.55,213.,8.25,---*---
440113,1964,-22.65,-143.03,25.62,204.,8.30,0.040
440135,1964,-20.37,-144.43,26.27,204.,8.31,0.030
440155,1964,-18.60,-146.08,26.79,200.,8.29,---*---
440468,1965,-16.27,-138.82,27.25,199.,8.27,0.040
440507,1965,-17.40,-136.75,27.24,200.,8.22,0.030
440562,1965,-16.40,-135.18,27.40,200.,8.27,0.050
440661,1965,-18.075,-132.73,26.89,202.,8.25,0.020
440815,1965,-22.85,-131.57,26.31,199.,8.23,---*---
440865,1965,-24.93,-130.13,25.53,205.,8.31,0.030
440935,1965,-24.95,-132.13,25.62,207.,8.23,0.020
441260,1965,-25.12,-136.33,25.74,201.,8.31,0.020
441296,1965,-22.28,-136.77,26.95,198.,8.21,---*---
441335,1965,-19.52,-137.27,27.75,200.,8.24,0.030
441388,1965,-17.40,-139.05,27.48,199.,8.23,---*---
456313,1965,-17.27,-142.72,25.73,201.,8.02,0.050
456405,1965,-16.70,-139.95,25.91,200.,8.28,0.060
456498,1965,-16.12,-137.45,26.24,203.,8.27,0.090
456610,1965,-15.60,-134.53,26.19,203.,8.28,0.060
457005,1965,-23.50,-136.37,23.63,207.,8.28,0.030
457104,1965,-20.75,-136.27,24.13,211.,8.31,0.040
457182,1965,-18.03,-136.25,25.30,204.,8.28,0.050
457276,1965,-17.18,-135.,26.15,203.,8.28,0.070
457361,1965,-17.28,-132.78,25.78,200.,8.27,---*---
6652037,1965,-19.50,-133.25,25.09,205.,8.30,0.040
457669,1965,-23.53,-134.30,22.40,213.,8.28,0.030
457779,1965,-23.18,-135.20,22.59,219.,8.31,0.030
458290,1965,-24.43,-134.13,21.41,218.,8.28,0.020
458347,1965,-24.45,-137.,21.82,217.,8.32,0.040
458425,1965,-23.50,-138.97,22.86,213.,8.30,0.030
458717,1965,-20.27,-139.,25.28,203.,8.27,0.040
458828,1965,-18.37,-139.05,25.63,200.,8.28,0.040
458934,1965,-17.33,-138.97,26.06,200.,8.28,0.090
459030,1965,-17.65,-141.,25.71,203.,8.29,0.040
459423,1965,-20.88,-141.17,24.28,207.,8.31,0.040
459555,1965,-23.37,-141.50,23.32,210.,8.28,0.050
459716,1965,-18.88,-143.23,25.58,200.,8.28,0.030
463662,1965,23.35,129.83,24.50,220.,8.30,0.0970
463794,1965,13.90,129.90,27.90,209.,8.19,0.0640
6657038,1965,-39.90,-96.92,12.07,268.,8.21,0.0770
6657268,1965,-39.93,-107.40,12.43,266.,8.28,0.147
8469286,1971,44.6708,-63.60,11.51,272.,7.86,2.56
8469287,1971,44.6708,-63.60,10.65,272.,7.86,3.37
8469288,1971,44.6708,-63.60,15.05,254.,8.22,1.03
8469289,1971,44.6708,-63.60,18.35,229.,8.38,4.25
8469290,1971,44.6708,-63.60,16.81,232.,8.11,2.70
8469291,1971,44.6708,-63.60,18.11,235.,8.06,4.05
8469292,1971,44.6708,-63.60,19.82,224.,8.05,3.58
8469293,1971,44.6708,-63.60,21.21,221.,8.02,3.44
8469294,1971,44.6708,-63.60,20.06,225.,8.13,5.46
8469295,1971,44.6708,-63.60,20.76,230.,7.58,6.27
8469296,1971,44.6708,-63.60,19.30,312.,8.21,27.00
8469297,1971,44.6708,-63.60,16.56,270.,8.06,6.41
8469298,1971,44.6708,-63.60,17.92,259.,8.04,9.98
8469299,1971,44.6708,-63.60,15.51,265.,7.92,2.84
8469300,1971,44.6708,-63.60,13.92,250.,7.83,0.13
8469301,1971,44.6708,-63.60,13.89,269.,7.95,0.37
8469302,1971,44.6708,-63.60,13.43,258.,7.92,0.15
8469303,1971,44.6708,-63.60,11.44,272.,7.93,6.61
8469304,1971,44.6708,-63.60,11.80,263.,7.85,0.17
8469305,1971,44.6708,-63.60,9.14,265.,7.76,0.070
8469306,1971,44.6708,-63.60,3.84,311.,7.90,0.020
8469307,1971,44.6708,-63.60,4.28,313.,7.93,0.070
8469308,1971,44.6708,-63.60,1.23,337.,7.92,0.81
8469309,1971,44.6708,-63.60,1.62,349.,7.97,0.17
8469310,1972,44.6708,-63.60,-0.54,372.,7.69,0.50
8469311,1972,44.6708,-63.60,-0.70,392.,7.60,0.38
8469312,1972,44.6708,-63.60,-0.30,376.,7.67,0.30
8469313,1972,44.6708,-63.60,-0.48,359.,7.90,0.75
8469314,1972,44.6708,-63.60,0.020,421.,7.22,1.00
8469315,1972,44.6708,-63.60,0.69,386.,7.74,1.33
8469316,1972,44.6708,-63.60,4.10,366.,8.01,1.96
8469318,1972,44.6708,-63.60,7.17,332.,8.05,2.02
6784139,1975,44.52,151.0,7.90,312.2,8.292,---*---
6784177,1975,49.512,158.06,5.90,351.6,8.322,0.97
6784205,1975,52.0,162.0,7.10,321.8,8.230,0.64
6784415,1975,54.507,164.42,7.50,316.1,8.182,0.44
6784469,1975,56.958,167.13,7.90,318.8,8.371,0.46
6784517,1975,57.0,171.0,6.30,313.4,8.305,0.78
6784531,1975,56.998,174.978,5.70,317.6,8.233,0.63
6784566,1975,57.0,178.998,5.50,322.6,8.221,1.07
6784572,1975,57.04,-176.963,5.60,338.2,8.372,0.44
6784691,1975,57.0,-172.478,5.40,325.3,8.339,0.45
6784716,1975,56.992,-168.0,5.30,335.2,8.335,1.84
6784740,1975,56.987,-165.532,4.00,352.3,8.382,2.14
6784764,1975,56.993,-162.98,5.80,352.3,8.345,1.73
6784794,1975,58.253,-164.932,3.20,332.0,8.216,0.94
6784810,1975,58.5,-167.0,4.50,336.1,8.347,2.13
6784827,1975,58.262,-167.0,3.95,361.1,8.363,1.33
6784840,1975,56.0,-167.0,7.00,313.7,8.351,0.62
6784847,1975,54.995,-168.0,6.80,304.73,8.254,0.55
6785101,1975,49.995,-155.0,8.60,301.1,8.211,0.99
6785647,1975,49.985,-144.468,10.30,287.7,8.156,0.40
6786138,1975,47.932,171.0,11.20,285.0,8.152,0.42
7818779,1977,1.0750,123.4667,29.63,182.,8.05,0.61
7818778,1977,1.000,123.7889,29.45,187.,8.15,0.14
7818781,1977,1.1333,124.1000,28.72,177.,8.10,0.52
7818782,1977,1.3167,124.3444,28.51,184.,8.23,0.26
7818783,1977,1.6000,124.6167,28.96,179.,8.15,0.41
7818787,1977,1.5833,125.3333,26.52,191.,7.95,0.59
7818788,1977,1.5667,125.5500,26.43,187.,7.75,0.97
7818789,1977,1.6000,125.8667,26.54,191.,7.75,0.48
7818790,1977,1.5917,126.2583,26.96,184.,8.10,0.35
7818791,1977,1.5667,126.5917,26.92,185.,8.05,0.39
7818792,1977,1.5833,126.9000,27.05,184.,8.10,0.31
7818799,1977,0.70000,126.5000,27.08,184.,8.05,0.39
7818800,1977,0.83333,126.1167,27.23,189.,8.05,0.35
7818801,1977,1.000,125.7500,26.88,191.,8.20,0.66
7818802,1977,1.1000,125.5500,26.96,198.,8.15,0.57
7818803,1977,1.1833,125.3667,26.79,200.,8.05,0.94
7818809,1977,1.2500,125.1667,26.25,191.,8.10,0.92
7818811,1977,0.91667,125.000,26.10,197.,8.10,0.58
7818812,1977,0.80000,125.1167,26.60,200.,8.10,0.40
7818813,1977,0.66667,125.2750,26.82,198.,8.10,0.47
7818814,1977,0.53333,125.4167,26.92,205.,8.15,0.29
7818815,1977,0.27500,125.7167,26.70,207.,8.15,0.90
7818822,1977,0.000,126.000,26.75,207.,8.15,0.36
7818825,1977,0.050000,125.0750,27.31,198.,8.05,0.17
7818826,1977,0.35833,124.8667,27.02,197.,8.05,0.15
7818832,1977,0.50000,124.7667,26.56,205.,8.10,0.34
7818833,1977,0.65833,124.6833,25.74,193.,8.05,0.47
7818834,1977,0.33333,124.2528,27.64,184.,8.00,0.22
7818835,1977,0.13333,124.3000,27.20,203.,8.05,0.48
7818836,1977,-0.050000,124.3333,26.34,196.,7.95,0.48
7818837,1977,-0.38333,124.4000,26.61,197.,8.00,0.41
7818844,1977,-0.71667,124.4667,26.58,203.,7.90,0.37
7818846,1977,-1.5000,124.5000,26.90,192.,7.90,0.19
7818847,1977,-1.2000,124.1667,26.12,174.,7.94,0.77
7818848,1977,-0.90833,123.8306,26.10,178.,7.95,0.74
7818855,1977,-0.58333,123.8500,25.94,205.,7.95,1.12
7818856,1977,-0.28333,123.8667,26.76,194.,8.26,0.48
7818858,1977,0.033333,123.7708,27.51,195.,8.04,0.11
7818859,1977,0.21667,123.7500,27.43,195.,7.96,0.31
7818869,1977,-0.44167,123.3167,28.30,197.,8.00,0.57
6831525,1978,45.247,163.760,9.70,292.1,8.008,0.193
6831659,1978,47.938,176.403,7.10,324.9,7.963,0.982
6831967,1978,53.587,177.12,7.20,316.2,8.000,0.835
6832119,1978,56.980,-177.0,8.25,338.5,8.800,3.073
6832203,1978,57.998,-175.08,8.40,342.7,8.161,1.397
6832273,1978,58.252,-174.507,8.40,335.6,8.177,1.501
6832286,1978,58.505,-174.0,8.15,286.6,8.192,1.285
6832320,1978,59.992,-170.930,7.10,318.8,8.076,0.630
6832346,1978,60.995,-168.998,6.80,317.3,7.948,0.402
6832382,1978,63.0,-166.98,11.00,292.7,7.944,0.446
7818880,1978,-0.83333,104.2917,29.35,182.,6.95,0.60
7818881,1978,-0.66667,103.8500,29.31,179.,7.55,0.72
7818884,1978,-0.25000,103.9833,29.29,179.,6.95,0.90
7818886,1978,0.15000,104.0333,29.44,174.,8.00,0.46
7818887,1978,0.50000,103.8500,29.97,176.,7.95,1.18
6832579,1978,64.998,-168.582,8.20,344.0,8.169,2.362
7818896,1978,1.1500,103.7850,29.72,175.,8.00,1.40
7818898,1978,1.1500,103.4583,29.78,175.,6.95,1.01
7818900,1978,1.1750,103.1000,29.63,175.,7.50,1.19
7818902,1978,1.4167,102.7533,29.74,178.,7.15,2.87
6832611,1978,67.672,-168.558,4.00,394.4,8.151,3.954
7818905,1978,1.8917,102.0850,29.94,178.,7.25,0.93
7818907,1978,2.1500,101.7500,30.23,177.,8.10,0.57
6832643,1978,69.168,-168.603,10.20,293.8,8.000,0.376
7818917,1978,2.3567,101.4067,29.81,178.,6.95,0.82
7818919,1978,2.5633,101.0500,29.78,175.,7.90,1.58
7818921,1978,2.7667,100.6667,29.48,170.,8.14,1.03
7818923,1978,3.0917,100.4083,29.51,169.,8.00,0.93
7818924,1978,3.3817,100.1417,29.51,167.,8.10,0.78
6832701,1978,65.788,-168.580,5.30,362.7,8.177,2.404
7818928,1978,3.9667,99.5667,29.76,180.,8.25,0.86
7818939,1978,4.2833,99.3000,29.54,180.,8.00,0.44
7818941,1978,4.5683,99.0333,29.68,183.,8.20,0.42
7818942,1978,4.8800,98.7500,30.40,183.,7.90,0.58
6832760,1978,64.02,-172.05,9.50,324.5,8.267,0.870
6832774,1978,63.0,-173.0,8.20,310.0,8.177,0.376
6832812,1978,61.0,-173.0,7.80,313.7,8.073,0.341
7818950,1978,5.2000,98.6583,29.85,179.,7.85,0.18
6832854,1978,58.988,-173.0,8.60,343.4,8.148,5.754
6832893,1978,56.998,-173.08,7.80,313.7,8.061,2.165
6832904,1978,56.58,-172.995,8.30,313.6,8.086,2.254
6832925,1978,56.13,-173.04,8.50,310.8,8.048,1.401
7819046,1979,-0.90556,104.3056,30.45,183.,7.10,1.12
7819047,1979,-0.66667,103.8333,29.70,192.,6.84,2.76
7819052,1979,0.16944,104.000,28.92,187.,7.15,0.40
7819056,1979,1.1347,103.7522,28.78,173.,7.20,0.96
7819057,1979,1.1972,103.4125,29.52,193.,7.15,0.30
7819063,1979,1.2500,103.0833,28.78,187.,7.30,0.30
7819065,1979,1.5167,102.7756,28.90,183.,7.10,0.34
7819067,1979,1.6667,102.5417,28.84,186.,7.19,0.20
7819069,1979,1.9417,102.1500,28.84,189.,7.13,0.46
7819071,1979,2.2250,101.7611,28.83,180.,7.80,0.50
7819072,1979,2.3722,101.4667,29.13,185.,7.25,0.73
7819084,1979,2.6417,100.9917,29.34,195.,7.19,0.75
7819087,1979,2.9278,100.6875,29.08,200.,7.10,1.05
7819108,1979,5.000,98.7500,28.50,189.,7.20,0.12
7819110,1979,5.2833,98.3333,28.71,193.,7.35,0.34
7818029,1979,-0.50833,123.2917,31.08,184.,8.26,0.060
7818032,1979,-0.63889,122.3889,30.44,186.,8.19,0.10
7818034,1979,-0.63472,122.0500,30.36,192.,8.19,0.14
7818035,1979,-0.68333,121.7000,30.72,197.,8.20,0.090
7818041,1979,-0.65000,121.1750,31.05,197.,8.20,0.10
7818045,1979,-1.2667,120.9167,30.89,190.,8.06,0.040
7818047,1979,-0.60000,120.2667,30.16,198.,8.15,0.14
7818049,1979,-0.32500,120.2750,30.40,197.,8.18,0.040
7818056,1979,-0.058333,120.2847,30.37,203.,8.14,0.090
7818059,1979,0.20833,120.2722,30.57,185.,8.18,0.080
7818061,1979,0.20500,121.1667,30.41,185.,8.21,0.020
7818063,1979,-0.055556,121.1667,30.40,203.,8.17,0.12
7818065,1979,-0.33889,121.1667,30.83,209.,8.25,0.080
7818071,1979,-0.15833,122.0667,30.25,197.,8.16,0.10
7818077,1979,0.30833,122.0667,30.39,198.,8.16,0.090
7818079,1979,-0.25833,123.2917,30.95,209.,8.24,0.12
7818085,1979,0.0083333,123.2889,30.50,211.,8.14,0.12
7818086,1979,0.26667,123.2833,30.29,209.,8.20,0.12
7819149,1980,2.5000,121.8333,29.08,190.,8.10,0.26
7818493,1981,-5.7472,105.5139,28.77,144.,8.20,0.65
7818494,1981,-5.8583,105.4222,28.68,161.,8.22,0.42
7818495,1981,-6.0250,105.4208,28.62,161.,8.30,0.80
7818496,1981,-6.1139,105.3972,28.69,136.,8.35,0.33
7818497,1981,-6.0347,105.2056,29.02,180.,8.30,0.34
7818498,1981,-5.9472,105.1778,29.98,205.,8.26,0.26
7818507,1981,-5.8778,105.0806,28.92,178.,8.35,0.29
7818508,1981,-6.1917,105.0278,28.79,156.,8.40,0.21
7818509,1981,-6.2097,105.1403,28.69,---*---,8.35,0.27
7818512,1981,-6.3694,105.3097,28.67,149.,8.35,0.20
7818513,1981,-6.4972,105.2694,28.69,171.,8.35,0.23
7818514,1981,-6.1639,105.2722,28.85,176.,8.25,0.33
7818515,1981,-6.3556,105.7056,28.75,175.,8.25,0.22
7818516,1981,-6.2792,105.6042,28.66,176.,8.30,0.23
7818517,1981,-6.2028,105.5000,28.65,183.,8.30,0.19
7818529,1981,-6.4069,105.4778,28.64,182.,8.35,0.37
7818530,1981,-6.0125,105.6111,28.64,170.,8.50,0.33
6946783,1982,36.927,-127.515,13.50,249.,8.098,0.405
6946945,1982,31.657,-124.372,17.10,235.,8.104,0.0790
6947182,1982,17.47,-117.0,24.80,200.,8.221,0.0830
6947937,1983,-2.755,-117.0,28.40,189.,8.234,0.141
6948135,1983,3.982,-116.988,28.60,187.,8.256,0.101
6989661,1984,69.90,49.62,8.89,292.,8.30,0.667
6989753,1984,70.73,51.30,9.76,278.,8.26,0.318
7954133,1984,71.0,51.80,9.10,296.,8.28,0.423
6989880,1984,71.22,52.23,8.99,280.,8.42,0.712
6990149,1984,70.58,54.77,8.32,312.,8.38,0.172
7954139,1984,70.42,54.55,9.87,285.,8.17,0.629
6990296,1984,69.85,54.15,10.10,315.,8.27,0.315
6990354,1984,69.53,53.93,9.46,285.,8.36,0.190
7954144,1984,69.13,53.63,8.13,260.,8.20,0.150
7954145,1984,68.48,50.87,7.82,327.,8.25,0.957
6990574,1984,68.58,50.50,7.69,260.,8.35,0.659
6990609,1984,68.67,50.03,7.68,272.,8.21,0.671
6990652,1984,68.72,49.85,7.89,297.,8.16,0.516
7620370,1984,68.65,48.95,8.86,269.,8.19,0.886
6990919,1984,68.45,48.83,6.01,318.,8.18,1.566
6990929,1984,68.22,48.73,7.15,274.,8.15,0.756
6990950,1984,67.97,48.62,9.29,278.,8.15,0.998
6991073,1984,68.23,39.83,8.10,264.,8.51,1.550
6991121,1984,68.410,40.092,8.38,290.,8.46,0.501
6991161,1984,68.960,40.33,6.73,318.,8.38,1.255
6991219,1984,69.558,40.742,8.45,306.,8.30,0.610
7954157,1984,70.25,41.33,8.79,316.,8.31,0.489
6991596,1984,74.60,39.80,5.42,309.,8.32,0.294
6991610,1984,74.50,41.0,5.53,303.,8.37,0.221
6991635,1984,74.50,42.28,5.65,303.,8.34,0.279
6991645,1984,74.50,43.50,6.12,302.,8.46,0.244
6991664,1984,74.50,44.73,7.27,291.,8.37,0.301
6991706,1984,74.0,50.0,7.30,292.,8.31,0.177
6991718,1984,73.87,50.77,8.05,294.,8.43,0.317
6991763,1984,73.65,52.03,7.58,300.,8.32,0.420
6991779,1984,73.57,52.53,7.73,299.,8.26,0.452
6991795,1984,73.38,53.55,7.68,297.,8.32,0.426
6991839,1984,72.82,47.58,7.93,285.,8.41,0.301
6991845,1984,72.63,48.13,8.11,279.,8.44,0.338
6991880,1984,72.43,48.68,7.51,---*---,8.43,0.354
6991956,1984,72.25,49.27,7.87,291.,8.34,0.570
6992079,1984,70.83,43.25,7.85,272.,8.42,0.312
6992114,1984,70.50,43.25,8.33,285.,8.43,0.466
6992185,1984,70.08,43.25,7.65,275.,8.46,0.663
6992210,1984,69.75,43.25,7.64,303.,8.49,1.078
6992218,1984,69.58,43.25,7.52,305.,8.35,1.189
6992273,1984,69.42,43.25,7.55,297.,8.44,1.053
